date,areaType,areaCode,areaName,cumCasesBySpecimenDateRate
2020-12-10,region,E12000007,London,
2020-12-09,region,E12000007,London,2098.2
2020-12-08,region,E12000007,London,2097.5
2020-12-07,region,E12000007,London,2069.4
2020-12-06,region,E12000007,London,2030.6
2020-12-05,region,E12000007,London,2004.4
2020-12-04,region,E12000007,London,1979.3
2020-12-03,region,E12000007,London,1947
2020-12-02,region,E12000007,London,1920
2020-12-01,region,E12000007,London,1889
2020-11-30,region,E12000007,London,1861.6
2020-11-29,region,E12000007,London,1831.7
2020-11-28,region,E12000007,London,1813.3
2020-11-27,region,E12000007,London,1795.1
2020-11-26,region,E12000007,London,1770.6
2020-11-25,region,E12000007,London,1747.5
2020-11-24,region,E12000007,London,1722.6
2020-11-23,region,E12000007,London,1698.7
2020-11-22,region,E12000007,London,1672
2020-11-21,region,E12000007,London,1655.5
2020-11-20,region,E12000007,London,1639.1
2020-11-19,region,E12000007,London,1615.6
2020-11-18,region,E12000007,London,1591.3
2020-11-17,region,E12000007,London,1563.9
2020-11-16,region,E12000007,London,1535.5
2020-11-15,region,E12000007,London,1501.2
2020-11-14,region,E12000007,London,1481.1
2020-11-13,region,E12000007,London,1459.7
2020-11-12,region,E12000007,London,1429.7
2020-11-11,region,E12000007,London,1398.2
2020-11-10,region,E12000007,London,1365.8
2020-11-09,region,E12000007,London,1335.4
2020-11-08,region,E12000007,London,1301.1
2020-11-07,region,E12000007,London,1281.5
2020-11-06,region,E12000007,London,1263.2
2020-11-05,region,E12000007,London,1239.7
2020-11-04,region,E12000007,London,1216.4
2020-11-03,region,E12000007,London,1193.6
2020-11-02,region,E12000007,London,1169.9
2020-11-01,region,E12000007,London,1137.4
2020-10-31,region,E12000007,London,1124
2020-10-30,region,E12000007,London,1108.6
2020-10-29,region,E12000007,London,1087.8
2020-10-28,region,E12000007,London,1065.5
2020-10-27,region,E12000007,London,1043.6
2020-10-26,region,E12000007,London,1020.3
2020-10-25,region,E12000007,London,992.1
2020-10-24,region,E12000007,London,977.7
2020-10-23,region,E12000007,London,961.7
2020-10-22,region,E12000007,London,939.4
2020-10-21,region,E12000007,London,915.2
2020-10-20,region,E12000007,London,889
2020-10-19,region,E12000007,London,863.2
2020-10-18,region,E12000007,London,837.2
2020-10-17,region,E12000007,London,822.8
2020-10-16,region,E12000007,London,810.4
2020-10-15,region,E12000007,London,792
2020-10-14,region,E12000007,London,772.9
2020-10-13,region,E12000007,London,754.8
2020-10-12,region,E12000007,London,738.9
2020-10-11,region,E12000007,London,721.4
2020-10-10,region,E12000007,London,713.1
2020-10-09,region,E12000007,London,703.4
2020-10-08,region,E12000007,London,688.4
2020-10-07,region,E12000007,London,672
2020-10-06,region,E12000007,London,656.4
2020-10-05,region,E12000007,London,643.4
2020-10-04,region,E12000007,London,629
2020-10-03,region,E12000007,London,619.9
2020-10-02,region,E12000007,London,611
2020-10-01,region,E12000007,London,599.5
2020-09-30,region,E12000007,London,587.6
2020-09-29,region,E12000007,London,576.6
2020-09-28,region,E12000007,London,568.8
2020-09-27,region,E12000007,London,560.5
2020-09-26,region,E12000007,London,554.6
2020-09-25,region,E12000007,London,548.5
2020-09-24,region,E12000007,London,541.8
2020-09-23,region,E12000007,London,535.1
2020-09-22,region,E12000007,London,527.8
2020-09-21,region,E12000007,London,522
2020-09-20,region,E12000007,London,517.2
2020-09-19,region,E12000007,London,512.7
2020-09-18,region,E12000007,London,508.9
2020-09-17,region,E12000007,London,504.6
2020-09-16,region,E12000007,London,501
2020-09-15,region,E12000007,London,497.7
2020-09-14,region,E12000007,London,494.7
2020-09-13,region,E12000007,London,491.4
2020-09-12,region,E12000007,London,490.1
2020-09-11,region,E12000007,London,487.6
2020-09-10,region,E12000007,London,483.9
2020-09-09,region,E12000007,London,479.5
2020-09-08,region,E12000007,London,475.7
2020-09-07,region,E12000007,London,471.9
2020-09-06,region,E12000007,London,466.7
2020-09-05,region,E12000007,London,464.4
2020-09-04,region,E12000007,London,461.4
2020-09-03,region,E12000007,London,457.5
2020-09-02,region,E12000007,London,453.6
2020-09-01,region,E12000007,London,449.9
2020-08-31,region,E12000007,London,446.4
2020-08-30,region,E12000007,London,444
2020-08-29,region,E12000007,London,442.5
2020-08-28,region,E12000007,London,440.9
2020-08-27,region,E12000007,London,438.5
2020-08-26,region,E12000007,London,435.9
2020-08-25,region,E12000007,London,434.1
2020-08-24,region,E12000007,London,432.2
2020-08-23,region,E12000007,London,430
2020-08-22,region,E12000007,London,428.4
2020-08-21,region,E12000007,London,427.1
2020-08-20,region,E12000007,London,425.2
2020-08-19,region,E12000007,London,422.9
2020-08-18,region,E12000007,London,421.2
2020-08-17,region,E12000007,London,419.2
2020-08-16,region,E12000007,London,417.1
2020-08-15,region,E12000007,London,416.1
2020-08-14,region,E12000007,London,414.9
2020-08-13,region,E12000007,London,413.5
2020-08-12,region,E12000007,London,412.2
2020-08-11,region,E12000007,London,410.4
2020-08-10,region,E12000007,London,408.7
2020-08-09,region,E12000007,London,407.2
2020-08-08,region,E12000007,London,406.4
2020-08-07,region,E12000007,London,405.8
2020-08-06,region,E12000007,London,404.4
2020-08-05,region,E12000007,London,403.3
2020-08-04,region,E12000007,London,402
2020-08-03,region,E12000007,London,400.8
2020-08-02,region,E12000007,London,399.9
2020-08-01,region,E12000007,London,399
2020-07-31,region,E12000007,London,398.4
2020-07-30,region,E12000007,London,397.5
2020-07-29,region,E12000007,London,396.4
2020-07-28,region,E12000007,London,395.3
2020-07-27,region,E12000007,London,394.2
2020-07-26,region,E12000007,London,393.1
2020-07-25,region,E12000007,London,392.4
2020-07-24,region,E12000007,London,391.7
2020-07-23,region,E12000007,London,390.8
2020-07-22,region,E12000007,London,390
2020-07-21,region,E12000007,London,389.2
2020-07-20,region,E12000007,London,388.2
2020-07-19,region,E12000007,London,387.2
2020-07-18,region,E12000007,London,386.7
2020-07-17,region,E12000007,London,386.2
2020-07-16,region,E12000007,London,385.6
2020-07-15,region,E12000007,London,384.8
2020-07-14,region,E12000007,London,384
2020-07-13,region,E12000007,London,383.3
2020-07-12,region,E12000007,London,382.4
2020-07-11,region,E12000007,London,381.9
2020-07-10,region,E12000007,London,381.7
2020-07-09,region,E12000007,London,381.3
2020-07-08,region,E12000007,London,380.7
2020-07-07,region,E12000007,London,380
2020-07-06,region,E12000007,London,379.4
2020-07-05,region,E12000007,London,378.8
2020-07-04,region,E12000007,London,378.2
2020-07-03,region,E12000007,London,377.8
2020-07-02,region,E12000007,London,377.4
2020-07-01,region,E12000007,London,377
2020-06-30,region,E12000007,London,376.5
2020-06-29,region,E12000007,London,375.9
2020-06-28,region,E12000007,London,375.3
2020-06-27,region,E12000007,London,375
2020-06-26,region,E12000007,London,374.7
2020-06-25,region,E12000007,London,374.1
2020-06-24,region,E12000007,London,373.5
2020-06-23,region,E12000007,London,373
2020-06-22,region,E12000007,London,372.4
2020-06-21,region,E12000007,London,371.9
2020-06-20,region,E12000007,London,371.6
2020-06-19,region,E12000007,London,371.2
2020-06-18,region,E12000007,London,370.8
2020-06-17,region,E12000007,London,370.3
2020-06-16,region,E12000007,London,369.8
2020-06-15,region,E12000007,London,369.3
2020-06-14,region,E12000007,London,368.9
2020-06-13,region,E12000007,London,368.5
2020-06-12,region,E12000007,London,368.1
2020-06-11,region,E12000007,London,367.5
2020-06-10,region,E12000007,London,366.9
2020-06-09,region,E12000007,London,366.4
2020-06-08,region,E12000007,London,365.6
2020-06-07,region,E12000007,London,364.9
2020-06-06,region,E12000007,London,364.4
2020-06-05,region,E12000007,London,363.9
2020-06-04,region,E12000007,London,363.4
2020-06-03,region,E12000007,London,362.8
2020-06-02,region,E12000007,London,361.9
2020-06-01,region,E12000007,London,361.3
2020-05-31,region,E12000007,London,360.8
2020-05-30,region,E12000007,London,360.4
2020-05-29,region,E12000007,London,359.9
2020-05-28,region,E12000007,London,359.3
2020-05-27,region,E12000007,London,358.5
2020-05-26,region,E12000007,London,357.5
2020-05-25,region,E12000007,London,356.8
2020-05-24,region,E12000007,London,356.2
2020-05-23,region,E12000007,London,355.6
2020-05-22,region,E12000007,London,354.9
2020-05-21,region,E12000007,London,354
2020-05-20,region,E12000007,London,352.2
2020-05-19,region,E12000007,London,350.6
2020-05-18,region,E12000007,London,349.2
2020-05-17,region,E12000007,London,347.9
2020-05-16,region,E12000007,London,347
2020-05-15,region,E12000007,London,346.2
2020-05-14,region,E12000007,London,344.7
2020-05-13,region,E12000007,London,343
